,label
image_2,1
image_3,1
image_4,1
image_7,1
image_11,1
image_12,1
image_15,1
image_17,1
image_18,1
image_20,1
image_21,1
image_22,1
image_24,0
image_26,0
image_29,1
image_31,1
image_34,1
image_36,1
image_39,1
image_44,1
image_46,1
image_47,1
image_49,1
image_50,1
image_51,1
image_54,1
image_55,1
image_56,1
image_60,1
image_61,1
image_65,1
image_66,1
image_67,1
image_68,1
image_69,1
image_70,1
image_78,1
image_79,1
image_80,1
image_81,1
image_83,1
image_85,1
image_86,1
image_87,0
image_88,1
image_89,0
image_90,1
image_91,1
image_92,0
image_93,1
image_95,1
image_98,1
image_100,1
image_101,1
image_102,1
image_104,1
image_105,1
image_106,1
image_107,1
image_108,1
image_111,1
image_112,0
image_114,1
image_118,1
image_119,1
image_121,1
image_123,1
image_126,1
image_128,1
image_129,0
image_133,0
image_138,1
image_140,1
image_141,1
image_142,0
image_144,1
image_145,1
image_149,1
image_153,1
image_155,1
image_156,1
image_159,1
image_160,1
image_161,1
image_162,1
image_163,1
image_165,1
image_169,1
image_170,1
image_173,1
image_175,1
image_177,1
image_179,1
image_183,1
image_184,1
image_185,1
image_186,1
image_187,1
image_189,1
image_190,1
image_191,1
image_192,1
image_194,1
image_200,1
image_202,1
image_203,1
image_204,1
image_209,1
image_210,1
image_211,1
image_213,1
image_214,0
image_217,1
image_218,1
image_226,1
image_228,1
image_229,1
image_230,1
image_232,1
image_234,1
image_237,1
image_238,1
image_239,1
image_240,1
image_242,1
image_247,1
image_248,1
image_249,1
image_251,1
image_255,1
image_258,1
image_264,1
image_266,1
image_267,1
image_268,1
image_270,1
image_271,1
image_272,1
image_273,1
image_274,1
image_276,1
image_277,1
image_278,1
image_280,1
image_282,1
image_283,1
image_284,1
image_291,1
image_292,1
image_293,1
image_294,1
image_295,1
image_299,1
image_300,1
image_301,1
image_303,1
image_304,1
image_305,1
image_306,1
image_307,1
image_308,1
image_311,1
image_313,1
image_318,1
image_321,1
image_323,1
image_325,1
image_328,0
image_329,0
image_330,1
image_331,1
