,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10
theta_0,-0.5190250469833712,-0.8339689313562252,-0.566811013467213,-0.8134437692094811,-0.8341219768036785,-0.638625061339478,-0.7101426432268231,-0.8081998521182219,-0.794828010070666,-0.5717890459361172
theta_1,0.09847889640181068,0.1921044541367224,0.46451771330412295,0.2762166324553061,0.38363554579861653,0.03664141083767025,0.1767979453641101,0.3122661516827975,0.20686982926129988,0.47765871855179176
theta_2,0.3545788716613185,0.278263036477779,0.49921615887278853,0.20922343509254965,0.020048190714792302,0.4527008622120531,0.4638076495939422,0.3897635057728298,0.018457734876130727,0.0013552037901639058
theta_3,0.007284961309190496,0.364578602902665,0.42863047363658885,0.005236220771489551,0.4374397676236856,0.4357606657774847,0.4227482847218931,0.41964702453465025,0.43759109368531485,0.1867354875876707
theta_4,0.12667085450026908,0.2526611096801314,0.14447418092709668,0.08386653761253039,0.052880201597077355,0.20893223298549463,0.1814500204345071,0.4056994863467603,0.42952664090026443,0.2671163500685556
theta_5,0.0738672222309676,0.4651736043752793,0.10400329760110649,0.2740704484910029,0.325959518073112,0.2644916747002751,0.24342122674916153,0.26902047654285394,0.2743676234365167,0.027953895638407562
theta_6,0.38105182393535564,0.23539677016886476,0.24281163935195793,0.1838998877003982,0.13652400596265427,0.3114962182591877,0.21091933104207305,0.482513997687935,0.3410701942812179,0.348915780585612
theta_7,0.2706466586824418,0.35327807084254464,0.24249019187974494,0.16169370062141947,0.28419480830905275,0.06914842227525755,0.35859554051819925,0.473992338701723,0.10074915970847222,0.3035779667466983
theta_8,0.3811953930096768,0.14557839274897671,0.3768100068349727,0.1083699051305068,0.22069266590801792,0.4284358056081898,0.1472188357222226,0.4290203997544896,0.4985592651249631,0.27351262685606137
theta_9,0.010389301932282291,0.32449394708104373,0.4928104934939693,0.11809364297971493,0.06917116999883523,0.14382053659080637,0.47703558367861326,0.41014727362985337,0.22033469896438806,0.04174752235821946
theta_10,0.3761482515195627,0.057152016066345894,0.49373486439203573,0.3626484495273291,0.17200384416297174,0.12402442060662065,0.22845806302850322,0.02941526889680735,0.3994577031103585,0.36448541378921995
theta_11,0.010861458177749118,0.042931030263571396,0.07651607771285333,0.3166730063401245,0.4576283704164312,0.3862691573022373,0.4354012720863368,0.13412875148704392,0.41665730651819255,0.05629449534776789
theta_12,0.27420577800601514,0.0862339634921869,0.4843881319229258,0.34958064001887096,0.4654037005203951,0.016403128261012125,0.40055458790750254,0.36027408888275786,0.481825189233302,0.1848841482234698
theta_13,0.21363635726957764,0.016456172314575267,0.27441914607176465,0.035634504877960715,0.32126511509375544,0.3241159267510175,0.3512397218770762,0.4236613737050258,0.24450882445528627,0.32759192495835365
theta_14,0.31705231071197904,0.16250743534248258,0.1294054152963524,0.06896979193037223,0.2642859724621152,0.14528295989603168,0.10062534465264461,0.1778924009866118,0.4094391101265776,0.47269216102286715
theta_15,0.18299445879124582,0.4582002155213314,0.20138894108854521,0.00567252657142603,0.17916219994421922,0.017815745365069222,0.4714122775151081,0.3723123026372842,0.3661167739225632,0.42512271688042896
theta_16,0.1175043368221288,0.039850821810113166,0.3279572435925997,0.15311908296801074,0.03050397224866492,0.46824460732458606,0.03494590755213194,0.33733710009140383,0.13673552458517332,0.15946737305210373
theta_17,0.3165780985736607,0.41648089237414226,0.09508439986770113,0.27868904646692305,0.3598621092224674,0.05394570706516801,0.17276104866190836,0.2763050902280956,0.07191125250914857,0.3206156859792363
theta_18,0.38022692887663584,0.2442947738329615,0.09611020301710779,0.2090671413598723,0.15774792592080314,0.3938870129047206,0.4130861094725707,0.33174107094515204,0.4997488341654384,0.012689593581624232
theta_19,0.23341124299242297,0.3498632014187947,0.03140168094016952,0.0021149805655416103,0.43821339227924294,0.43089771230367246,0.1091969383276612,0.31949249819880765,0.16482041454599639,0.2962770613324543
theta_20,0.34180216606781383,0.279271514288164,0.38596849156202406,0.3430240239047469,0.3980337554444864,0.21999161965853575,0.4601437973317658,0.37995892052529545,0.18274368833263976,0.4303306531019982
theta_21,0.17268604057397852,0.13844727566636122,0.3431607525902405,0.0637783445141622,0.2794975035123103,0.48835049388087626,0.046028450962365984,0.10477747835238604,0.40236263394484423,0.14966216153992787
theta_22,0.3066443346563225,0.0843430857766676,0.39280268450042644,0.0722606592076485,0.0849383600187021,0.009295245997600444,0.4297381492800736,0.33754363668228254,0.357796957490736,0.44919741024439835
theta_23,0.06358454435520729,0.43983148131691335,0.24482215133885193,0.026820083425264995,0.36739549493705975,0.02145248065311531,0.14143841226699919,0.49906534015936055,0.09503109767061464,0.2480859574857226
theta_24,0.043516009454907155,0.003933886751242104,0.2144108148538437,0.41580627931026287,0.48269845929359195,0.3725680443783764,0.0007840658201506007,0.019018247355533383,0.332575768093877,0.10917929181411729
theta_25,0.18870743070926885,0.4411066365471073,0.016757066934843582,0.03767164060733051,0.2797626840759263,0.1851550300536577,0.12388360156108363,0.24064910397042327,0.24709207394703822,0.21502782663674364
theta_26,0.49304502399272787,0.29149393605684215,0.4767690215032158,0.48491699234537117,0.3721084685062389,0.3209485559968631,0.4595129154892764,0.06193673647728429,0.4753635793579214,0.356076158010927
theta_27,0.027901624121053018,0.01401973629970063,0.15207945321972915,0.24156640459607615,0.12734534259149377,0.48994147967601936,0.33250189399753816,0.41524554416672654,0.04365724741682155,0.34688385791718407
