,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost
label_1,0.8302247611751545,0.6639479592787667,0.5564001992808275,0.4833302655547758,0.43276074102939105,0.3975587598139054,0.37297115179078044,0.3557121490704276,0.343509792655192,0.3348053020642249
label_2,0.656532741130188,0.5548785744051851,0.4869177796241914,0.43947215587802557,0.40607020698449464,0.38264635392521956,0.36630491588224096,0.3549340474337511,0.3470182477816635,0.3414924712805841
label_3,0.6696611612057839,0.5728900920324757,0.5083131659356752,0.46322508902690346,0.4314810279194583,0.40925031672808376,0.39379555359582363,0.3831040720053406,0.375720407377104,0.37061642662189137
label_4,0.5270937701863625,0.4616497441858219,0.4154436799327323,0.38151230797260005,0.35647496776662024,0.33810921382833,0.32471760265831645,0.31497759772525125,0.3078852074379854,0.30270002975410026
label_5,0.797175777817635,0.6335583049040724,0.5274781475244854,0.4552835161526899,0.4052531727362783,0.37037361414953923,0.3459637328163877,0.3287892351443205,0.3166154060089298,0.3079091334054244
label_6,0.6873562893424195,0.5752473618600885,0.5014367335700697,0.4503381291277292,0.4144716985281575,0.38930599509360936,0.37170144206941186,0.35940081219510367,0.3507932635559405,0.34474788881742646
label_7,0.78116367168573,0.62863354671755,0.5284168647718787,0.45927825569876796,0.4107903636358735,0.37665143338907864,0.3525703153411881,0.3355205365339191,0.3233745724901528,0.31465295294538154
label_8,0.6847758993440038,0.5773695273620841,0.506618063142176,0.4578727550189707,0.42396007898202176,0.40044481801479426,0.3842258000224097,0.373075306326997,0.36541340488821406,0.36014054292078307
label_9,0.8666494292311169,0.6893873848112497,0.574953987689629,0.49785865080112013,0.4451621688999132,0.4090248206283002,0.3842046010167732,0.3670992267557843,0.35524331119206953,0.34696542352544213
label_10,0.7749775392589819,0.6440757052148204,0.5589487259025061,0.5012209823650956,0.46171593109076176,0.43477940999757075,0.41651577338499873,0.4041743282764414,0.3958370360956311,0.39019092758309165
