,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
theta_x0,-8.151535976640374e-05,7.452936783157475e-05,5.5106399258067346e-05,6.517227519040271e-05,-1.1273379932679785e-05,-7.227973213327126e-05,3.444643343871182e-05,5.0652971277461456e-05,-9.11850675671379e-05,-5.000966162514895e-05,-2.820686239466659e-05,4.830334758187752e-05,9.058081138557245e-05,-4.757431436671651e-05,7.813467553563507e-06,9.47126221795429e-05,6.442650004284465e-05,4.21375167372627e-05,-6.869296117731366e-05,8.019207663084104e-05,2.5045424282671254e-05,-9.978462140698935e-05,-9.613669845669157e-06,9.308022378421835e-05,1.760055167536672e-05
theta_x1,-2.2035516085246764e-05,-7.70499650062859e-05,3.97505970024545e-05,5.3045773221847096e-05,-5.283928955986259e-05,9.04021948999131e-05,1.8561119754287718e-05,-3.6579256940189844e-05,-9.610669116420676e-05,-9.536449347632137e-05,5.3619649872102884e-06,4.469213375915574e-05,-4.247387950864672e-06,4.102133467196455e-05,-2.26014992910371e-05,7.591201788497913e-05,-3.385274142313983e-05,8.860922619572963e-05,-3.655313590022749e-05,2.3517371842180513e-05,-9.369248650205187e-05,9.464225428580595e-05,-5.2499852149750015e-05,-6.793702839132855e-06,7.821610941436236e-05
theta_x2,-9.958191081758748e-06,-3.4747210413692395e-05,1.3063386352590105e-05,-5.805831993892299e-05,-3.392547859684274e-05,-4.259051407510593e-05,-7.330405425574156e-05,-1.189682923065148e-05,2.7853292776525496e-05,-9.057502402436952e-05,4.945090545423166e-05,-6.572467988177151e-05,-8.947711658946947e-05,-3.0165956421279434e-05,8.383305393061214e-05,-3.735222733793743e-05,6.517720766465868e-05,-1.9874570034037164e-05,-3.2976411135426137e-05,-3.6919745766280277e-05,9.73475430682151e-05,3.301560868379057e-05,6.66938023444802e-05,7.311825275006067e-05,-4.077580291479723e-05
theta_x3,-3.458213573096312e-05,-8.093246603339753e-05,1.7866730402089486e-05,5.463546931985839e-05,-5.8371790256416526e-05,4.032189729096708e-05,7.183536607359077e-05,-2.6184823195690384e-05,-9.74886003159938e-05,-8.987893400924903e-05,6.53648415239133e-05,-4.528215073923121e-05,7.777972495374005e-05,-4.7582827868225964e-05,5.305837371262998e-05,2.5791002779204178e-05,6.735699029740914e-05,-3.5911782022850165e-05,-2.0157358079654026e-05,7.331226518524746e-05,6.097029910790272e-05,-1.4975816609568565e-05,5.8562236767602255e-06,3.212840256645168e-05,9.69769943920729e-05
theta_x4,7.314715805058291e-05,3.443048413469752e-05,4.20711811446762e-05,-7.69789231593809e-05,-7.2784261388853e-05,-8.71012336824424e-05,3.902985445366812e-05,-4.642262320911903e-05,2.724196250562657e-05,-6.828115438785957e-05,-2.9143355101893882e-05,8.21359797012548e-07,6.213262515261367e-05,-1.3210596647799286e-05,-8.261284577565687e-05,4.3321970389335144e-05,-4.172277980309791e-05,-1.2104634901241869e-05,-8.531872348418581e-05,1.9896480505585706e-05,-4.432609353159607e-05,7.081511609992315e-05,1.6635038127201394e-05,1.955831115086269e-05,-7.5182023568316e-06
theta_x5,7.054375845954691e-06,-8.927963275837523e-05,-1.7104003913074933e-05,7.061932374571787e-05,-8.995865369551369e-05,-7.386868413497125e-05,3.905911182342798e-05,-7.856111961083902e-05,6.503390365183945e-05,-5.493299012096329e-05,-1.563586296420172e-05,8.98767354513085e-05,-7.68980676502236e-05,-6.501411331112403e-05,-2.2732302519581785e-05,5.265663846943686e-05,-7.171482245998877e-05,-6.763542573983523e-05,-5.942246874785238e-05,-7.804895749435371e-05,7.37369368219989e-05,-9.664051011430739e-05,-9.090205503058021e-05,1.2689136064145478e-05,-1.2994928002892038e-05
theta_x6,-8.30016530519254e-05,-8.584091613022709e-05,4.4400476234564054e-05,3.603026564922165e-05,-1.1697029847373725e-05,-9.409865433043182e-05,-9.90997979672202e-05,2.452014485296689e-05,1.2195082229232484e-06,4.787391177568809e-05,-9.400596379469763e-05,1.915430743087832e-05,2.431175988077952e-05,-2.1001428331892007e-05,3.936983229505149e-06,2.8717262533606403e-05,8.30483775285922e-05,-8.279032464772385e-05,1.61144744703474e-05,-6.868555213806655e-05,3.111310607716696e-05,2.4791801444822996e-06,-7.083398793681773e-05,4.449261247458263e-05,-3.825140947857355e-05
theta_x7,2.1115201940190796e-06,-1.3476847337594273e-05,-8.060011755599621e-05,-6.763763202822625e-05,6.116443281331165e-05,1.5247463266115639e-05,-5.215789797382114e-06,-2.2646981827489874e-05,-9.81428625387851e-05,6.814285718775495e-06,3.4081957444161105e-06,-8.944810122880201e-05,-2.6760522126626583e-05,-4.790165615534279e-05,2.232122250470462e-05,-9.55004021070987e-05,-9.192172124825357e-05,-8.388974853257297e-06,-1.3278639018981004e-05,-5.138381522130957e-05,-7.125197066992795e-05,9.977001120392512e-05,-7.639945492566765e-05,1.328577644481131e-05,-3.3480161640439746e-05
theta_x8,2.5321020394812707e-06,-2.311847423445877e-05,-5.168629483040605e-06,3.7131020377586656e-05,2.8560258955172868e-05,1.0091875582709319e-05,-7.6834183888376e-05,-5.956770563457461e-05,9.56017613703828e-05,-8.426209315075999e-05,-6.316646623706596e-05,1.3568182743801851e-06,9.919336579911865e-05,8.686473297088783e-05,-7.102840878760042e-05,6.719789033960765e-05,-1.098184551317149e-05,3.2649471125226605e-06,-5.484145671238343e-05,-8.382656455864759e-05,-3.326515055687574e-05,-6.818114083016851e-05,8.561968591505667e-05,-7.378057764319421e-05,-7.974799370318356e-05
theta_x9,8.188813114203367e-05,-6.791152856173505e-05,-3.380135238406478e-05,2.9417419558167335e-05,5.330348492979027e-06,7.960106494353686e-05,-9.94131734427218e-05,-4.2058659284559545e-05,-7.152399285851685e-05,8.292044880682332e-05,4.889274104250467e-05,-4.755466867657372e-05,4.8440401551110726e-05,7.133963788761112e-05,-4.9222457963402454e-05,5.347055793981687e-06,-1.5572049508511405e-05,2.3405740787975867e-05,2.414523294978714e-06,2.1064993861469387e-05,-8.111951874687893e-05,3.1083886098322796e-05,1.4288240213814737e-05,-7.7038930601293e-05,-7.590021662863089e-05
