,1,2,3,4,5,6,7,8,9,10
theta_x0,-0.12634425999263357,-0.09306980546224947,-0.16309302305733714,-0.24190365646417336,-0.1439962472137255,-0.22219981214912318,-0.13860378888533048,-0.1420180296986209,-0.139523509235692,-0.14237714352251973
theta_x1,-0.05496219013994799,-0.08426647901208818,-0.09711939523994494,-0.16570988235053244,-0.14486924523803438,-0.13757017818885992,-0.22271272907364448,-0.0491981696651726,-0.15470531831746323,-0.0359903941145997
theta_x2,-0.17589776904356572,-0.1315780096612835,-0.04770139101232973,-0.1656692925043943,-0.05209357273120374,-0.02480682273882879,-0.160278513038234,-0.1648294861528687,-0.10811029736298237,-0.0918425000091154
theta_x3,-0.14479289880359178,-0.044196153253902144,-0.16673132442951213,-0.17846372720425524,-0.15617975367098483,-0.0994756617067658,-0.08035139773541769,-0.1516466527760478,-0.18445173795122807,-0.1205391738200299
theta_x4,-0.05518864649712312,0.010768628026483745,-0.01956600309744666,-0.1578630330225991,-0.012739879676053452,-0.10366284515040974,-0.13609733711146385,-0.07283603254348517,-0.0051579726968712086,-0.18380561729959657
theta_x5,-0.056668563333009236,-0.1693549048396693,-0.02895651515858437,-0.019223594354160017,-0.18999486639690844,-0.008377818631267547,-0.010877204254693212,-0.11642638506948051,-0.11354208306149907,-0.15044954898860308
theta_x6,-0.1376008677396656,-0.16853059376203183,-0.17634981315750115,-0.17690638768978484,-0.06233053699446974,-0.16667740691747784,-0.05062231871080307,-0.08200766846289902,-0.038368033674433505,-0.027886236556066823
theta_x7,-0.06117273378288371,-0.10923884607217658,-0.0752305368441109,-0.16863087915945388,-0.1306556059853854,-0.18983449632390187,-0.041722791600718456,-0.11995892729358196,-0.14210852904828605,-0.17623519305876062
theta_x8,-0.025378096753691983,-0.02200360853106487,-0.05155003869887184,-0.159210306164211,-0.022172044879811555,-0.17074564916325247,-0.191747932211159,-0.09625231666106787,-0.0649970058037876,-0.13918874941650347
theta_x9,-0.06905077415012,-0.11775651001451581,-0.09582753977908903,-0.04752971278206878,-0.06890164575453418,-0.04256489727694614,-0.14530042751409702,-0.208663903366819,-0.12201632001157009,-0.1835609501170121
theta_x10,-0.17895981176780512,-0.13507618020196532,-0.1645459774675556,-0.04606989647036615,-0.0928089698246507,-0.15287020879527016,-0.09104679516286145,-0.13451108677792417,-0.05702092224859247,-0.07378095739862064
theta_x11,-0.13290134051794972,-0.03877864392700854,-0.16666857677081856,-0.16035049687597971,-0.16242158655825456,-0.13644538741126624,-0.09556373909257021,-0.16979312630709978,-0.13131987062164946,-0.058530484352229496
theta_x12,-0.1276662722342596,-0.17610146797930742,-0.12363507831424042,-0.11854519550251397,-0.03635264842144612,-0.17427129881816977,-0.1095443824679729,-0.14118981249328852,-0.20401757489810063,-0.16277566142157754
theta_x13,-0.021026685906292922,-0.12235590298886981,-0.15314356791312675,-0.13313476689077072,-0.08898868949190582,-0.12057531543460531,-0.008287260898358819,-0.14432954252235,-0.00707568618740903,-0.09076564713707329
theta_x14,-0.0011962171168458159,-0.11655960106105263,0.00971871435467635,-0.12746967203492904,-0.041514525435576176,-0.0685738471318833,-0.14304899401076793,-0.016808736717534026,-0.07324568968337307,-0.10910647554234475
theta_x15,-0.11974679809580265,-0.16829487409531907,-0.0941518584827522,-0.1690760390607082,-0.13689743757471623,-0.03968081923915374,-0.022401006112668258,-0.09851839708147189,-0.1594383646873395,-0.12946460824826223
theta_x16,-0.1396497523274418,-0.011690858772004304,-0.17215275207448896,-0.0031373029215228864,-0.03119486828565437,-0.08019147712641027,-0.138562706633834,-0.01400104777625031,-0.06177026613079209,-0.025214321278944945
theta_x17,-0.0033560010983167904,0.00549299922629015,-0.11542112695601002,-0.0030868088215810696,-0.036296510897996605,-0.0023083817962813134,-0.07843054480123927,-0.06589055688156317,-0.0730679165710709,-0.020186787882639123
theta_x18,-0.021856980056137607,-0.1034001911763206,-0.1776449954300244,-0.04610773775893382,-0.131401169059201,-0.0297455147065955,-0.05255989618161452,-0.057626134657736694,-0.042632310481912225,-0.09611021558649721
theta_x19,-0.10613075994070342,-0.17153651279643328,-0.14549514810777733,-0.1518099778698548,-0.026481866304767114,-0.054003658822039814,-0.15973376431227598,-0.09756781329994596,-0.11549195128512371,-0.011776644012076506
theta_x20,-0.191783663594486,-0.15631459444937754,-0.032254589970485484,0.003205864033992437,-0.15630288438271492,-0.07025532442906292,-0.12866490981102757,-0.07708808303542601,-0.19541792185611007,-0.03313485249699012
theta_x21,-0.12263295879018511,-0.18544082448266008,-0.009483758536114557,-0.1444853148619873,-0.22857424587247394,-0.20888769904082946,-0.15314183888556965,-0.08509121373436804,-0.09625543278191111,-0.02425734527255044
theta_x22,-0.17736135861347696,-0.04036739483139809,-0.18150144711084554,-0.08357456275013235,-0.17245030078757687,-0.13379412073681604,-0.053240804694893964,-0.04201152641849378,-0.03661713273010929,-0.06403067386449687
theta_x23,-0.09993077478542517,-0.1028603531276678,-0.09042179608604523,-0.07649559105992805,-0.2011933418644444,-0.05431493028375412,-0.05182740704530572,-0.1734353152140869,-0.11501231340676782,-0.0806442338865911
theta_x24,-0.08208802030882832,-0.17343153094608146,-0.025175013054787677,-0.14504677912124264,-0.02860651005413547,-0.13021144266641976,-0.07008267288786992,-0.0022208606726776057,-0.0925837152540039,-0.06334358232607269
theta_x25,-0.20303451865133612,-0.14258695983265016,-0.05131997634705634,-0.056787608195153966,-0.2169834060849677,-0.03296607144128413,-0.20393153844737016,-0.10555606606788913,-0.053835321713712705,-0.18986847286332717
